Continent;Zone
Asie;Afghanistan
Afrique;Afrique de l'Ouest, non spécifié(population)
Afrique;Afrique du Sud
Europe;Albanie
Afrique;Algérie
Europe;Allemagne
Amérique du Nord ;Amérique Nordique, non spécifié(population)
Europe;Andorre
Afrique;Angola
Amérique latine et Caraïbes;Anguilla
Región Antarctique;Antarctique
Amérique latine et Caraïbes;Antigua-et-Barbuda
Amérique latine et Caraïbes;Antilles néerlandaises (ex)
Asie;Arabie saoudite
Amérique latine et Caraïbes;Argentine
Asie;Arménie
Amérique latine et Caraïbes;Aruba
Océanie;Australie
Europe;Autriche
Asie;Azerbaïdjan
Amérique latine et Caraïbes;Bahamas
Asie;Bahreïn
Asie;Bangladesh
Amérique latine et Caraïbes;Barbade
Europe;Bélarus
Europe;Belgique
Europe;Belgique-Luxembourg
Amérique latine et Caraïbes;Belize
Afrique;Bénin
Amérique du Nord ;Bermudes
Asie;Bhoutan
Amérique latine et Caraïbes;Bolivie (État plurinational de)
Amérique latine et Caraïbes;Bonaire, Saint-Eustache et Saba
Europe;Bosnie-Herzégovine
Afrique;Botswana
Amérique latine et Caraïbes;Brésil
Asie;Brunéi Darussalam
Europe;Bulgarie
Afrique;Burkina Faso
Afrique;Burundi
Afrique;Cabo Verde
Asie;Cambodge
Afrique;Cameroun
Amérique du Nord ;Canada
Amérique latine et Caraïbes;Caraïbes, non spécifié(population)
Amérique latine et Caraïbes;Chili
Asie;Chine
Asie;Chine - RAS de Hong-Kong
Asie;Chine - RAS de Macao
Asie;Chine, continentale
Asie;Chine, Taiwan Province de
Asie;Chypre
Amérique latine et Caraïbes;Colombie
Afrique;Comores
Afrique;Congo
Amérique latine et Caraïbes;Costa Rica
Afrique;Côte d'Ivoire
Europe;Croatie
Amérique latine et Caraïbes;Cuba
Amérique latine et Caraïbes;Curaçao
Europe;Danemark
Afrique;Djibouti
Amérique latine et Caraïbes;Dominique
Afrique;Égypte
Amérique latine et Caraïbes;El Salvador
Asie;Émirats arabes unis
Amérique latine et Caraïbes;Équateur
Afrique;Érythrée
Europe;Espagne
Europe;Estonie
Afrique;Eswatini
Amérique du Nord ;États-Unis d'Amérique
Afrique;Éthiopie
Afrique;Éthiopie RDP
Europe;Europe de l'Ouest, non spécifié(population)
Europe;Fédération de Russie
Océanie;Fidji
Europe;Finlande
Europe;France
Afrique;Gabon
Afrique;Gambie
Asie;Géorgie
Amérique latine et Caraïbes;Géorgie du Sud-et-Îles Sandwich du Sud
Afrique;Ghana
Europe;Gibraltar
Europe;Grèce
Amérique latine et Caraïbes;Grenade
Amérique du Nord ;Groenland
Amérique latine et Caraïbes;Guadeloupe
Océanie;Guam
Amérique latine et Caraïbes;Guatemala
Afrique;Guinée
Afrique;Guinée équatoriale
Afrique;Guinée-Bissau
Amérique latine et Caraïbes;Guyana
Amérique latine et Caraïbes;Guyane française
Amérique latine et Caraïbes;Haïti
Amérique latine et Caraïbes;Honduras
Europe;Hongrie
Amérique latine et Caraïbes;Île Bouvet
Océanie;Île Christmas
Europe;Île de Man
Océanie;Île Johnston
Océanie;Île Midway
Océanie;Île Norfolk
Europe;Îles Anglo-Normandes
Amérique latine et Caraïbes;Îles Caïmanes
Océanie;Îles Cook
Europe;Îles d'Åland
Océanie;Îles des Cocos (Keeling)
Amérique latine et Caraïbes;Îles Falkland (Malvinas)
Europe;Îles Féroé
Océanie;Îles Heard et McDonald
Océanie;Îles Mariannes du Nord
Océanie;Îles Marshall
Océanie;Îles mineures éloignées des États-Unis
Océanie;Îles Salomon
Europe;Îles Svalbard-et-Jan Mayen
Amérique latine et Caraïbes;Îles Turques-et-Caïques
Amérique latine et Caraïbes;Îles Vierges américaines
Amérique latine et Caraïbes;Îles Vierges britanniques
Océanie;Îles Wake
Océanie;Îles Wallis-et-Futuna
Asie;Inde
Asie;Indonésie
Asie;Iran (République islamique d')
Asie;Iraq
Europe;Irlande
Europe;Islande
Asie;Israël
Europe;Italie
Amérique latine et Caraïbes;Jamaïque
Asie;Japon
Europe;Jersey
Asie;Jordanie
Asie;Kazakhstan
Afrique;Kenya
Asie;Kirghizistan
Océanie;Kiribati
Europe;Kosovo
Asie;Koweït
Afrique;Lesotho
Europe;Lettonie
Asie;Liban
Afrique;Libéria
Afrique;Libye
Europe;Liechtenstein
Europe;Lituanie
Europe;Luxembourg
Europe;Macédoine du Nord
Afrique;Madagascar
Asie;Malaisie
Afrique;Malawi
Asie;Maldives
Afrique;Mali
Europe;Malte
Afrique;Maroc
Amérique latine et Caraïbes;Martinique
Afrique;Maurice
Afrique;Mauritanie
Afrique;Mayotte
Amérique latine et Caraïbes;Mexique
Océanie;Micronésie (États fédérés de)
Océanie;Micronésie, non spécifié(population)
Europe;Monaco
Asie;Mongolie
Europe;Monténégro
Amérique latine et Caraïbes;Montserrat
Afrique;Mozambique
Asie;Myanmar
Afrique;Namibie
Océanie;Nauru
Asie;Népal
Amérique latine et Caraïbes;Nicaragua
Afrique;Niger
Afrique;Nigéria
Océanie;Nioué
Europe;Norvège
Océanie;Nouvelle-Calédonie
Océanie;Nouvelle-Zélande
Asie;Oman
Afrique;Ouganda
Asie;Ouzbékistan
Asie;Pakistan
Océanie;Palaos
Asie;Palestine
Amérique latine et Caraïbes;Panama
Océanie;Papouasie-Nouvelle-Guinée
Amérique latine et Caraïbes;Paraguay
Europe;Pays-Bas
Amérique latine et Caraïbes;Pérou
Asie;Philippines
Océanie;Pitcairn
Europe;Pologne
Océanie;Polynésie française
Océanie;Polynésie, non spécifié(population)
Amérique latine et Caraïbes;Porto Rico
Europe;Portugal
Asie;Qatar
Asie;République arabe syrienne
Afrique;République centrafricaine
Asie;République de Corée
Europe;République de Moldova
Afrique;République démocratique du Congo
Asie;République démocratique populaire lao
Amérique latine et Caraïbes;République dominicaine
Asie;République populaire démocratique de Corée
Afrique;République-Unie de Tanzanie
Afrique;Réunion
Europe;RFS de Yougoslavie
Europe;Roumanie
Europe;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
Afrique;Rwanda
Afrique;Sahara occidental
Amérique latine et Caraïbes;Saint-Barthélemy
Afrique;Sainte-Hélène, Ascension et Tristan da Cunha
Amérique latine et Caraïbes;Sainte-Lucie
Amérique latine et Caraïbes;Saint-Kitts-et-Nevis
Europe;Saint-Marin
Amérique latine et Caraïbes;Saint-Martin (partie française)
Europe;Saint-Pierre-et-Miquelon
Europe;Saint-Siège
Amérique latine et Caraïbes;Saint-Vincent-et-les Grenadines
Océanie;Samoa
Océanie;Samoa américaines
Afrique;Sao Tomé-et-Principe
Afrique;Sénégal
Europe;Serbie
Europe;Serbie (exc Kosovo)
Europe;Serbie-et-Monténégro
Afrique;Seychelles
Afrique;Sierra Leone
Asie;Singapour
Amérique latine et Caraïbes;Sint Maarten (partie néerlandaise)
Europe;Slovaquie
Europe;Slovénie
Afrique;Somalie
Afrique;Soudan
Afrique;Soudan (ex)
Afrique;Soudan du Sud
Asie;Sri Lanka
Europe;Suède
Europe;Suisse
Amérique latine et Caraïbes;Suriname
Asie;Tadjikistan
Afrique;Tchad
Europe;Tchécoslovaq
Europe;Tchéquie
Afrique;Terres australes françaises
Afrique;Territoire britannique de l'océan Indien
Océanie;Territoire des Îles du Pacifique
Asie;Thaïlande
Asie;Timor-Leste
Afrique;Togo
Océanie;Tokélaou
Océanie;Tonga
Amérique latine et Caraïbes;Trinité-et-Tobago
Afrique;Tunisie
Asie;Turkménistan
Asie;Turquie
Océanie;Tuvalu
Europe;Ukraine
Amérique latine et Caraïbes;Uruguay
Océanie;Vanuatu
Amérique latine et Caraïbes;Venezuela (République bolivarienne du)
Asie;Viet Nam
Asie;Yémen
Asie;Yemen Dém
Asie;Yémen Rép A
Afrique;Zambie
Afrique;Zimbabwe
